,,light,dark
Arthropoda,orange,#FAE5D3,#CA6F1E
> Arachnida,,#EDBB99,#D35400
Chondrichthyes,green,#D5F5E3,#239B56
> Selachii,,#A9DFBF,#27AE60
Osteoglossocephalai,blue/gray,#D4E6F1,#2471A3
Sauria,purple,#D7BDE2,#76448A
Theria,red,#FADBD8,#CB4335
> rodents,,#F1948A,#E74C3C
> primates,,#E6B0AA,#C0392B
